Formatter, loc, ns
scalafmt, 3, 1001871
scalafmt, 3, 992585
scalafmt, 3, 405129
scalariform, 3, 592991
scalafmt, 150, 85841460
scalafmt, 44, 48887198
scalafmt, 31, 46967123
scalariform, 96, 91108197
scalariform, 31, 25404774
scalafmt, 32, 37633212
scalariform, 32, 8866141
scalariform, 44, 60137608
scalariform, 150, 77715852
scalafmt, 16, 6723813
scalariform, 16, 2467470
scalafmt, 43, 37596628
scalafmt, 443, 576502996
scalariform, 43, 6897391
scalafmt, 85, 150747067
scalafmt, 43, 19894222
scalariform, 43, 6673526
scalafmt, 30, 36665481
scalafmt, 9, 3503794
scalariform, 9, 1382472
scalafmt, 19, 2669085
scalariform, 30, 12544347
scalariform, 85, 35825546
scalafmt, 10, 12215730
scalariform, 10, 840739
scalariform, 19, 16208667
scalafmt, 20, 2381131
scalafmt, 73, 77509573
scalariform, 20, 13588560
scalafmt, 30, 30352544
scalafmt, 20, 21075610
scalafmt, 16, 1949420
scalariform, 30, 5337778
scalariform, 20, 10415503
scalariform, 16, 20698968
scalafmt, 18, 1441891
scalafmt, 23, 12230965
scalariform, 73, 39363312
scalariform, 23, 3248631
scalafmt, 140, 118986525
scalafmt, 12, 3683255
scalafmt, 9, 5652510
scalariform, 9, 916791
scalariform, 12, 4630879
scalafmt, 26, 15954864
scalariform, 26, 3608758
scalafmt, 22, 27823078
scalariform, 22, 1466243
scalafmt, 25, 665146
scalariform, 140, 43114777
scalafmt, 11, 12718188
scalafmt, 53, 76686999
scalariform, 443, 158506750
scalafmt, 32, 48902674
scalariform, 32, 2593296
scalafmt, 30, 896553
scalafmt, 30, 857460
scalafmt, 22, 1002285
scalafmt, 2, 570254
scalariform, 53, 10489123
scalafmt, 27, 7946477
scalafmt, 651, 561011966
scalariform, 27, 2779111
scalafmt, 4, 688069
scalafmt, 10, 611239
scalafmt, 5, 3932974
scalafmt, 28, 25597844
scalariform, 28, 8198612
scalafmt, 8, 934873
scalafmt, 16, 6048822
scalariform, 16, 1773841
scalafmt, 2, 874582
scalafmt, 6, 811042
scalafmt, 3, 339633
scalariform, 3, 662775
scalafmt, 49, 39169808
scalafmt, 82, 90587396
scalafmt, 4, 12511627
scalafmt, 7, 944183
scalafmt, 41, 29043240
scalafmt, 10, 2504784
scalariform, 10, 836779
scalafmt, 5, 1105053
scalariform, 41, 10413612
scalariform, 49, 21145163
scalafmt, 11, 5181804
scalariform, 11, 661577
scalafmt, 12, 12444256
scalafmt, 11, 7829052
scalariform, 82, 28481228
scalariform, 11, 1965074
scalariform, 12, 10247150
scalafmt, 3, 2787197
scalafmt, 16, 955581
scalafmt, 135, 108445530
scalafmt, 13, 4035478
scalafmt, 91, 106589846
scalafmt, 29, 36165817
scalariform, 29, 4094177
scalariform, 135, 34785428
scalariform, 91, 20420620
scalariform, 651, 127841417
scalafmt, 670, 1555996860
scalafmt, 41, 49666453
scalafmt, 22, 20628581
scalariform, 22, 6322463
scalariform, 41, 9481380
scalafmt, 69, 82696933
scalafmt, 15, 58433261
scalafmt, 27, 21959940
scalariform, 27, 5757754
scalariform, 15, 10589689
scalariform, 69, 18004654
scalafmt, 8, 3796100
scalariform, 8, 1361689
scalafmt, 13, 10888805
scalafmt, 5, 3470801
scalariform, 5, 1169743
scalariform, 13, 3023815
scalafmt, 13, 24967444
scalariform, 13, 5947144
scalafmt, 92, 90436655
scalafmt, 3, 4663227
scalafmt, 1, 734434
scalafmt, 12, 645727
scalafmt, 3, 643559
scalafmt, 69, 102071690
scalafmt, 5, 2227618
scalariform, 5, 939055
scalafmt, 74, 91385802
scalafmt, 151, 114764876
scalariform, 92, 33260419
scalariform, 69, 22296249
scalariform, 74, 17770158
scalafmt, 30, 75469352
scalariform, 30, 5682068
scalariform, 151, 22450721
scalafmt, 190, 96736972
scalafmt, 13, 14381120
scalariform, 13, 2423591
scalafmt, 26, 31923835
scalafmt, 43, 41411597
scalariform, 26, 9890997
scalariform, 190, 34197953
scalariform, 43, 15720833
scalafmt, 90, 30691334
scalariform, 90, 13992246
scalafmt, 26, 3657187
scalariform, 26, 1082544
scalafmt, 142, 174323535
scalafmt, 74, 127373136
scalariform, 670, 302609682
scalariform, 74, 16497459
scalafmt, 112, 87251750
scalafmt, 171, 165488445
scalariform, 142, 26217931
scalafmt, 107, 143425665
scalariform, 112, 17267092
scalafmt, 14, 1572599
scalariform, 14, 636290
scalafmt, 11, 1340084
scalariform, 11, 549092
scalafmt, 39, 24704752
scalafmt, 14, 2878392
scalariform, 14, 1036489
scalariform, 39, 9062079
scalafmt, 3, 239733480
scalafmt, 9, 780828
